SiteId,WsWaIdx,DateHrGmt,DateHrLwt,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
Madrid History 2012,581525,2012-05-21-21,2012-05-21-22,48.7,38.6,43.3,68,934.2,0,46.0,46.0,5,310,0.00,0,0,0,6
Madrid History 2012,581525,2012-05-21-22,2012-05-21-23,48.6,38.8,43.5,69,934.4,0,45.5,45.5,6,310,0.00,0,0,0,7
Madrid History 2012,581525,2012-05-21-23,2012-05-22-00,47.7,38.8,42.2,71,934.8,0,44.4,44.4,6,320,0.00,0,0,0,7
Madrid History 2012,581525,2012-05-22-00,2012-05-22-01,46.5,39.1,42.9,76,935.0,0,43.0,43.0,6,320,0.00,0,0,0,7
Madrid History 2012,581525,2012-05-22-01,2012-05-22-02,45.7,40.6,42.2,83,934.9,0,42.3,42.3,6,330,0.00,0,0,0,7
Madrid History 2012,581525,2012-05-22-02,2012-05-22-03,44.3,40.6,41.1,87,935.1,1,40.9,40.9,5,320,0.00,0,0,0,6
Madrid History 2012,581525,2012-05-22-03,2012-05-22-04,43.3,40.4,41.5,90,935.3,2,39.7,39.7,5,330,0.00,0,0,0,6
Madrid History 2012,581525,2012-05-22-04,2012-05-22-05,42.3,40.1,39.9,92,935.5,1,38.8,38.8,5,330,0.00,0,0,0,6
Madrid History 2012,581525,2012-05-22-05,2012-05-22-06,41.8,39.7,39.9,92,935.8,1,38.3,38.3,5,340,0.00,0,0,0,6
Madrid History 2012,581525,2012-05-22-06,2012-05-22-07,45.8,40.5,42.1,82,936.1,2,43.2,43.2,4,340,0.00,46,36,99,5
Madrid History 2012,581525,2012-05-22-07,2012-05-22-08,50.4,42.7,46.1,75,938.3,1,50.4,50.4,2,360,0.00,221,71,530,2
Madrid History 2012,581525,2012-05-22-08,2012-05-22-09,56.7,43.6,48.7,62,937.9,1,56.7,56.7,2,350,0.00,423,88,719,2
Madrid History 2012,581525,2012-05-22-09,2012-05-22-10,61.7,44.1,51.2,52,937.6,1,61.7,61.7,2,330,0.00,616,110,802,2
Madrid History 2012,581525,2012-05-22-10,2012-05-22-11,65.8,44.3,52.8,46,937.2,1,65.8,65.8,3,330,0.00,781,144,827,3
Madrid History 2012,581525,2012-05-22-11,2012-05-22-12,63.1,44.5,52.5,51,939.1,1,63.1,63.1,4,180,0.00,903,177,833,5
Madrid History 2012,581525,2012-05-22-12,2012-05-22-13,67.0,45.1,54.0,45,938.5,1,67.0,67.0,4,190,0.00,974,185,850,5
Madrid History 2012,581525,2012-05-22-13,2012-05-22-14,67.5,44.6,53.7,44,937.4,1,67.5,67.5,1,200,0.00,990,186,857,1
Madrid History 2012,581525,2012-05-22-14,2012-05-22-15,68.2,46.3,55.4,45,939.1,1,68.2,68.2,4,40,0.00,946,188,844,5
Madrid History 2012,581525,2012-05-22-15,2012-05-22-16,69.9,46.3,56.3,43,939.1,5,69.9,69.9,4,60,0.00,849,171,832,5
Madrid History 2012,581525,2012-05-22-16,2012-05-22-17,69.0,46.2,55.1,44,938.3,7,69.0,69.0,4,50,0.00,706,129,836,5
Madrid History 2012,581525,2012-05-22-17,2012-05-22-18,73.2,46.4,56.3,38,939.1,9,73.2,75.6,9,10,0.00,527,103,794,10
Madrid History 2012,581525,2012-05-22-18,2012-05-22-19,66.5,48.1,55.7,52,938.6,11,66.5,66.5,7,10,0.00,330,86,681,8
Madrid History 2012,581525,2012-05-22-19,2012-05-22-20,61.2,46.8,52.7,59,938.6,22,60.2,60.2,8,10,0.00,137,66,412,9
Madrid History 2012,581525,2012-05-22-20,2012-05-22-21,58.3,45.6,50.4,63,935.9,14,57.6,57.6,5,10,0.00,11,11,0,6
Madrid History 2012,581525,2012-05-22-21,2012-05-22-22,57.0,45.1,49.2,65,936.3,4,55.8,55.8,6,10,0.00,0,0,0,7
